Evaluation_Name,Question_ID,Question,Response_ID,Answer,Comments,Clinician_Agent_ID,Clinician_AD_ID,SELECTIONS_CODE
CE 4405 Cleveland 1/4 2017-2018,10934,"<font face=""Arial"" size=""2"">Encouraged me to learn on my own (e.g., read independently, seek information, search the literature).</font>",13006,4,,{Instructor[e812265e-cc96-4ff5-bfb2-376836fcc978]},lwiltshire,{Instructor[e812265e-cc96-4ff5-bfb2-376836fcc978]}
CE 4405 Cleveland 1/4 2017-2018,10934,"<font face=""Arial"" size=""2"">Encouraged me to learn on my own (e.g., read independently, seek information, search the literature).</font>",13007,4,,{Instructor[e812265e-cc96-4ff5-bfb2-376836fcc978]},lwiltshire,{Instructor[e812265e-cc96-4ff5-bfb2-376836fcc978]}
CE 4405 Cleveland 1/4 2017-2018,10934,"<font face=""Arial"" size=""2"">Encouraged me to learn on my own (e.g., read independently, seek information, search the literature).</font>",13008,5,,{Instructor[e812265e-cc96-4ff5-bfb2-376836fcc978]},lwiltshire,{Instructor[e812265e-cc96-4ff5-bfb2-376836fcc978]}
CE 4405 Cleveland 1/4 2017-2018,10934,"<font face=""Arial"" size=""2"">Encouraged me to learn on my own (e.g., read independently, seek information, search the literature).</font>",13009,5,,{Instructor[e812265e-cc96-4ff5-bfb2-376836fcc978]},lwiltshire,{Instructor[e812265e-cc96-4ff5-bfb2-376836fcc978]}
CE 4405 Cleveland 1/4 2017-2018,10934,"<font face=""Arial"" size=""2"">Encouraged me to learn on my own (e.g., read independently, seek information, search the literature).</font>",13010,5,,{Instructor[e812265e-cc96-4ff5-bfb2-376836fcc978]},lwiltshire,{Instructor[e812265e-cc96-4ff5-bfb2-376836fcc978]}
CE 4405 Cleveland 1/4 2017-2018,10934,"<font face=""Arial"" size=""2"">Encouraged me to learn on my own (e.g., read independently, seek information, search the literature).</font>",13011,5,,{Instructor[e812265e-cc96-4ff5-bfb2-376836fcc978]},lwiltshire,{Instructor[e812265e-cc96-4ff5-bfb2-376836fcc978]}
CE 4405 Cleveland 1/4 2017-2018,10934,"<font face=""Arial"" size=""2"">Encouraged me to learn on my own (e.g., read independently, seek information, search the literature).</font>",13012,2,,{Instructor[9800552f-09df-4b99-a3fb-3ce7d02b23f1]},rgringmuth,{Instructor[9800552f-09df-4b99-a3fb-3ce7d02b23f1]}
CE 4405 Cleveland 1/4 2017-2018,10934,"<font face=""Arial"" size=""2"">Encouraged me to learn on my own (e.g., read independently, seek information, search the literature).</font>",13013,4,,{Instructor[59536e80-9db3-4d1a-858d-9cd8be201efc]},dyedon,{Instructor[59536e80-9db3-4d1a-858d-9cd8be201efc]}
CE 4405 Cleveland 1/4 2017-2018,10934,"<font face=""Arial"" size=""2"">Encouraged me to learn on my own (e.g., read independently, seek information, search the literature).</font>",13014,5,,{Instructor[e812265e-cc96-4ff5-bfb2-376836fcc978]},lwiltshire,{Instructor[e812265e-cc96-4ff5-bfb2-376836fcc978]}
CE 4405 Cleveland 1/4 2017-2018,10934,"<font face=""Arial"" size=""2"">Encouraged me to learn on my own (e.g., read independently, seek information, search the literature).</font>",13015,4,,{Instructor[0ec70d30-9460-4aad-9277-101c0470c3f2]},nlishchyna,{Instructor[0ec70d30-9460-4aad-9277-101c0470c3f2]}
CE 4405 Cleveland 1/4 2017-2018,10934,"<font face=""Arial"" size=""2"">Encouraged me to learn on my own (e.g., read independently, seek information, search the literature).</font>",13016,5,,{Instructor[e812265e-cc96-4ff5-bfb2-376836fcc978]},lwiltshire,{Instructor[e812265e-cc96-4ff5-bfb2-376836fcc978]}
CE 4405 Cleveland 1/4 2017-2018,10934,"<font face=""Arial"" size=""2"">Encouraged me to learn on my own (e.g., read independently, seek information, search the literature).</font>",13017,5,,{Instructor[9800552f-09df-4b99-a3fb-3ce7d02b23f1]},rgringmuth,{Instructor[9800552f-09df-4b99-a3fb-3ce7d02b23f1]}
CE 4405 Cleveland 1/4 2017-2018,10934,"<font face=""Arial"" size=""2"">Encouraged me to learn on my own (e.g., read independently, seek information, search the literature).</font>",13018,5,,{Instructor[d23bc618-de59-42ad-ab6e-acb4a58eb477]},jbonar,{Instructor[d23bc618-de59-42ad-ab6e-acb4a58eb477]}
CE 4405 Cleveland 1/4 2017-2018,10934,"<font face=""Arial"" size=""2"">Encouraged me to learn on my own (e.g., read independently, seek information, search the literature).</font>",13019,5,,{Instructor[061f9df3-0bc6-4072-a7a1-83b3d1e79228]},alee1,{Instructor[061f9df3-0bc6-4072-a7a1-83b3d1e79228]}
CE 4405 Cleveland 1/4 2017-2018,10934,"<font face=""Arial"" size=""2"">Encouraged me to learn on my own (e.g., read independently, seek information, search the literature).</font>",13020,5,,{Instructor[3a01a5af-ff85-4719-b748-357335559434]},ptavares,{Instructor[3a01a5af-ff85-4719-b748-357335559434]}
CE 4405 Cleveland 1/4 2017-2018,10934,"<font face=""Arial"" size=""2"">Encouraged me to learn on my own (e.g., read independently, seek information, search the literature).</font>",13021,5,,{Instructor[e812265e-cc96-4ff5-bfb2-376836fcc978]},lwiltshire,{Instructor[e812265e-cc96-4ff5-bfb2-376836fcc978]}
CE 4405 Cleveland 1/4 2017-2018,10934,"<font face=""Arial"" size=""2"">Encouraged me to learn on my own (e.g., read independently, seek information, search the literature).</font>",13022,4,,{Instructor[ca8de356-49ae-4ba0-86f7-3f5f5e4b1d28]},bmuir,{Instructor[ca8de356-49ae-4ba0-86f7-3f5f5e4b1d28]}
CE 4405 Cleveland 1/4 2017-2018,10934,"<font face=""Arial"" size=""2"">Encouraged me to learn on my own (e.g., read independently, seek information, search the literature).</font>",13023,4,,{Instructor[5b77484c-bc75-4ed6-bc6d-1631975a59ab]},jgoldin,{Instructor[5b77484c-bc75-4ed6-bc6d-1631975a59ab]}
